start_time,end_time,duration,min_qdel,max_qdel,communicated_flow_count,round_max_cruise_rate,latest_cruise_rate,cruise_happened,probe_happened,round_ended,cwnd
145000,858000,713000,15000,21000,1.50,1000.00,925.93,true,false,false,24.50
858000,1559000,701000,16000,17000,1.50,1000.00,925.93,true,false,false,24.50
1559000,2260000,701000,16000,17000,1.50,1000.00,925.93,true,false,false,24.50
2260000,2961000,701000,16000,17000,1.50,1000.00,925.93,true,false,false,24.50
2961000,3663000,702000,16000,17000,1.50,1000.00,925.93,true,false,false,24.50
3663000,4421000,758000,16000,36000,1.50,1000.00,806.45,true,false,false,24.50
4421000,5131000,710000,15000,20000,1.50,1000.00,925.93,true,false,false,24.50
5131000,5835000,704000,17000,18000,1.50,1000.00,925.93,true,false,false,24.50
5835000,6481000,646000,18000,18000,1.50,1000.00,925.93,false,true,false,24.50
6481000,7182000,701000,11000,17000,1.10,1000.00,909.09,true,false,false,20.00
7182000,7871000,689000,10000,13000,1.00,1000.00,909.09,true,false,false,20.00
7871000,8563000,692000,10000,14000,1.00,1000.00,869.57,true,false,false,20.00
8563000,9252000,689000,10000,13000,1.00,1000.00,909.09,true,false,false,20.00
9252000,9944000,692000,10000,14000,1.00,1000.00,869.57,true,false,false,20.00
9944000,10633000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
10633000,11322000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
11322000,12011000,689000,12000,13000,1.00,1000.00,909.09,true,false,false,20.00
12011000,12700000,689000,12000,13000,1.00,1000.00,909.09,true,false,false,20.00
12700000,13389000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
13389000,14078000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
14078000,14767000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
14767000,15456000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
15456000,16145000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
16145000,16834000,689000,12000,13000,1.00,1000.00,909.09,true,false,false,20.00
16834000,17523000,689000,12000,13000,1.00,1000.00,909.09,true,false,false,20.00
17523000,18213000,690000,12000,13000,1.00,1000.00,909.09,true,false,false,20.00
18213000,18902000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
18902000,19591000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
19591000,20280000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
20280000,20969000,689000,12000,13000,1.00,1000.00,869.57,true,false,true,20.00
20969000,21658000,689000,12000,13000,1.20,909.09,869.57,true,false,false,20.00
21658000,22347000,689000,12000,13000,1.20,909.09,869.57,true,false,false,20.00
22347000,23036000,689000,12000,13000,1.20,909.09,869.57,true,false,false,20.00
23036000,23725000,689000,12000,13000,1.20,909.09,869.57,true,false,false,20.00
23725000,24414000,689000,12000,13000,1.20,909.09,869.57,true,false,false,20.00
24414000,25103000,689000,10000,13000,1.00,1000.00,1000.00,true,false,false,20.00
25103000,25798000,695000,10000,15000,1.00,1000.00,869.57,true,false,false,20.00
25798000,26487000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
26487000,27098000,611000,13000,13000,1.00,1000.00,909.09,false,true,false,20.00
27098000,27790000,692000,11000,14000,1.00,1000.00,869.57,true,false,false,20.00
27790000,28479000,689000,10000,13000,1.00,1000.00,909.09,true,false,false,20.00
28479000,29172000,693000,10000,14000,1.00,1000.00,869.57,true,false,false,20.00
29172000,29861000,689000,12000,13000,1.00,1000.00,869.57,true,false,false,20.00
29861000,30550000,689000,10000,13000,1.00,1000.00,909.09,true,false,false,20.00
30550000,31296000,746000,10000,32000,1.00,1000.00,869.57,true,false,false,20.00
31296000,31991000,695000,10000,15000,1.00,1000.00,833.33,true,false,false,20.00
31991000,32683000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
32683000,33376000,693000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
33376000,34068000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
34068000,34760000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
34760000,35452000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
35452000,36144000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
36144000,36836000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
36836000,37528000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
37528000,38220000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
38220000,38912000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
38912000,39604000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
39604000,40296000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
40296000,40988000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
40988000,41680000,692000,14000,14000,1.00,1000.00,833.33,true,false,true,20.00
41680000,42372000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
42372000,43064000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
43064000,43756000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
43756000,44448000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
44448000,45140000,692000,14000,14000,1.40,833.33,833.33,true,false,false,20.00
45140000,45832000,692000,10000,14000,1.00,1000.00,1000.00,true,false,false,20.00
45832000,46533000,701000,10000,17000,1.00,1000.00,833.33,true,false,false,20.00
46533000,47228000,695000,13000,15000,1.00,1000.00,833.33,true,false,false,20.00
47228000,47846000,618000,14000,14000,1.00,1000.00,869.57,false,true,false,20.00
47846000,48544000,698000,12000,16000,1.00,1000.00,833.33,true,false,false,20.00
48544000,49236000,692000,10000,14000,1.00,1000.00,909.09,true,false,false,20.00
49236000,49934000,698000,11000,16000,1.00,1000.00,833.33,true,false,false,20.00
49934000,50627000,693000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
50627000,51328000,701000,10000,17000,1.00,1000.00,740.74,true,false,false,20.00
51328000,52023000,695000,12000,15000,1.00,1000.00,833.33,true,false,false,20.00
52023000,52715000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
52715000,53407000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
53407000,54099000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
54099000,54792000,693000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
54792000,55484000,692000,14000,14000,1.00,1000.00,833.33,true,false,false,20.00
55484000,56248000,764000,13000,38000,1.00,1000.00,571.43,true,false,false,20.00
56248000,56952000,704000,10000,18000,1.00,1000.00,833.33,true,false,false,20.00
56952000,57647000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
57647000,58342000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
58342000,59037000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
59037000,59732000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
59732000,60427000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
60427000,61122000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
61122000,61818000,696000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
61818000,62513000,695000,14000,15000,1.00,1000.00,833.33,true,false,true,20.00
62513000,63208000,695000,14000,15000,1.40,833.33,833.33,true,false,false,20.00
63208000,63903000,695000,14000,15000,1.40,833.33,833.33,true,false,false,20.00
63903000,64598000,695000,14000,15000,1.40,833.33,833.33,true,false,false,20.00
64598000,65293000,695000,14000,15000,1.40,833.33,833.33,true,false,false,20.00
65293000,65988000,695000,14000,15000,1.40,833.33,833.33,true,false,false,20.00
65988000,66683000,695000,10000,15000,1.00,1000.00,833.33,true,false,false,20.00
66683000,67384000,701000,10000,17000,1.00,1000.00,800.00,true,false,false,20.00
67384000,68079000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
68079000,68698000,619000,14000,14000,1.00,1000.00,833.33,false,true,false,20.00
68698000,69396000,698000,12000,16000,1.00,1000.00,833.33,true,false,false,20.00
69396000,70091000,695000,10000,15000,1.00,1000.00,869.57,true,false,false,20.00
70091000,70789000,698000,12000,16000,1.00,1000.00,833.33,true,false,false,20.00
70789000,71484000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
71484000,72185000,701000,11000,17000,1.00,1000.00,769.23,true,false,false,20.00
72185000,72880000,695000,13000,15000,1.00,1000.00,833.33,true,false,false,20.00
72880000,73575000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
73575000,74271000,696000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
74271000,74966000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
74966000,75661000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
75661000,76356000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
76356000,77051000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
77051000,77746000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
77746000,78441000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
78441000,79136000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
79136000,79831000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
79831000,80527000,696000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
80527000,81295000,768000,14000,39000,1.00,1000.00,571.43,true,false,false,20.00
81295000,82026000,731000,10000,27000,1.00,1000.00,833.33,true,false,false,20.00
82026000,82721000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
82721000,83416000,695000,14000,15000,1.00,1000.00,800.00,true,false,true,20.00
83416000,84111000,695000,14000,15000,1.40,833.33,800.00,true,false,false,20.00
84111000,84807000,696000,14000,15000,1.40,833.33,800.00,true,false,false,20.00
84807000,85503000,696000,14000,15000,1.40,833.33,800.00,true,false,false,20.00
85503000,86198000,695000,14000,15000,1.40,833.33,800.00,true,false,false,20.00
86198000,86893000,695000,14000,15000,1.40,833.33,800.00,true,false,false,20.00
86893000,87588000,695000,10000,15000,1.00,1000.00,869.57,true,false,false,20.00
87588000,88292000,704000,11000,18000,1.00,1000.00,800.00,true,false,false,20.00
88292000,88988000,696000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
88988000,89609000,621000,15000,15000,1.00,1000.00,833.33,false,true,false,20.00
89609000,90307000,698000,13000,16000,1.00,1000.00,800.00,true,false,false,20.00
90307000,91002000,695000,10000,15000,1.00,1000.00,833.33,true,false,false,20.00
91002000,91703000,701000,12000,17000,1.00,1000.00,800.00,true,false,false,20.00
91703000,92398000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
92398000,93099000,701000,10000,17000,1.00,1000.00,800.00,true,false,false,20.00
93099000,93794000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
93794000,94489000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
94489000,95184000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
95184000,95879000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
95879000,96575000,696000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
96575000,97270000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
97270000,97966000,696000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
97966000,98661000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
98661000,99356000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
99356000,100051000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
100051000,100746000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
100746000,101441000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
101441000,102136000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
102136000,102831000,695000,14000,15000,1.00,1000.00,833.33,true,false,false,20.00
102831000,103526000,695000,14000,15000,1.00,1000.00,800.00,true,false,false,20.00
103526000,104222000,696000,14000,15000,1.00,1000.00,833.33,true,false,true,20.00
104222000,104918000,696000,14000,15000,1.40,833.33,833.33,true,false,false,20.00
104918000,105613000,695000,14000,15000,1.40,833.33,833.33,true,false,false,20.00
105613000,106308000,695000,14000,15000,1.40,833.33,800.00,true,false,false,20.00
106308000,107084000,776000,10000,42000,1.00,1000.00,1000.00,true,false,false,20.00
107084000,107791000,707000,10000,19000,1.00,1000.00,833.33,true,false,false,20.00
